"date","symbol","open","high","close","volume","adj"
2017-07-14,"MZOR",41.3,42.28,41.790001,231400,41.790001
2017-07-14,"MZOR",41.3,42.28,41.790001,231388,41.790001
2017-07-14,"DPLO",15.19,15.45,15.16,498800,15.16
2017-07-14,"DPLO",15.19,15.45,15.16,498770,15.16
2017-07-14,"LGCYP",5.5,5.53,5.3,15500,5.3
2017-07-14,"LGCYP",5.5,5.53,5.3,15470,5.3
2017-07-14,"SNFCA",6.3,6.51,6.4,6500,6.4
2017-07-14,"SNFCA",6.3,6.51,6.4,6546,6.4
2017-07-14,"YDIV",18.42,18.42,18.42,200,18.42
2017-07-14,"YDIV",18.42,18.42,18.42,222,18.42
2017-07-14,"MTL",4.87,4.88,4.84,93900,4.84
2017-07-14,"MTL",4.87,4.88,4.84,93871,4.84
2017-07-14,"FMC",76.99,77.22,76.489998,864200,76.489998
2017-07-14,"FMC",76.99,77.22,76.489998,894203,76.489998
2017-07-14,"RGT",9.67,9.73,9.72,18300,9.72
2017-07-14,"RGT",9.67,9.73,9.7199,18269,9.7199
2017-07-14,"DGRS",33.33,33.48,33.389999,13200,33.389999
2017-07-14,"DGRS",33.33,33.48,33.384998,13238,33.384998
2017-07-14,"OXM",60.24,60.94,59.919998,130900,59.919998
2017-07-14,"OXM",60.24,60.94,59.919998,130877,59.919998
2017-07-14,"CDW",63.34,63.77,63.560001,951700,63.560001
2017-07-14,"CDW",63.34,63.77,63.560001,983073,63.560001
2017-07-14,"CCF",108.75,110.06,108.849998,19000,108.849998
2017-07-14,"CCF",108.75,110.06,108.849998,18958,108.849998
2017-07-14,"FTSM",60.03,60.04,60.029999,138500,60.029999
2017-07-14,"FTSM",60.03,60.04,60.029999,138518,60.029999
2017-07-14,"HCC",18.65,18.92,18.77,109900,18.77
2017-07-14,"HCC",18.65,18.92,18.77,109943,18.77
2017-07-14,"CPAH",2.25,2.3,2.23,2400,2.23
2017-07-14,"CPAH",2.25,2.3,2.23,2400,2.23
2017-07-14,"ORIG",0.12,0.24,0.2,8242400,0.2
2017-07-14,"ORIG",0.12,0.237,0.1998,8259087,0.1998
2017-07-14,"TRS",21.85,22.15,22.049999,103700,22.049999
2017-07-14,"TRS",21.85,22.15,22.049999,103718,22.049999
2017-07-14,"COVS",2.45,2.45,2.45,8000,2.45
2017-07-14,"COVS",2.45,2.45,2.45,8001,2.45
2017-07-14,"DISCK",25.63,25.67,25.549999,1540200,25.549999
2017-07-14,"DISCK",25.63,25.665,25.549999,1540642,25.549999
2017-07-14,"AOS",57.59,57.75,57.439999,596300,57.439999
2017-07-14,"AOS",57.59,57.75,57.439999,634531,57.439999
2017-07-14,"MMI",26.57,27.13,27.01,78200,27.01
2017-07-14,"MMI",26.57,27.13,27.01,78208,27.01
2017-07-14,"UTX",123.44,123.64,123.410004,1743100,123.410004
2017-07-14,"UTX",123.44,123.64,123.410004,1779510,123.410004
2017-07-14,"AVNW",18.34,18.59,18.059999,21900,18.059999
2017-07-14,"AVNW",18.34,18.59,18.059999,21938,18.059999
2017-07-14,"AINC",50,50,50,300,50
2017-07-14,"AINC",50,50,50,284,50
2017-07-13,"CPAC",11.54,11.54,11.54,6,11.54
2017-07-14,"CPAC",11.54,11.54,11.54,0,11.54
2017-07-14,"NSYS",3.58,3.58,3.51,3700,3.51
2017-07-14,"NSYS",3.576,3.576,3.51,3668,3.51
2017-07-14,"FRO",6.02,6.2,6.19,875400,6.19
2017-07-14,"FRO",6.02,6.2,6.19,875408,6.19
2017-07-14,"NMI",11.88,11.88,11.81,23000,11.81
2017-07-14,"NMI",11.882,11.882,11.81,22950,11.81
2017-07-14,"CPLA",86,87,86.5,51900,86.5
2017-07-14,"CPLA",86,87,86.5,51926,86.5
2017-07-14,"LKQ",32.38,32.72,32.540001,1730187,32.540001
2017-07-14,"MRO",11.53,11.67,11.65,15197500,11.65
2017-07-14,"MRO",11.53,11.665,11.65,15235661,11.65
2017-07-14,"BXC",10.84,10.84,10.7,23500,10.7
2017-07-14,"BXC",10.84,10.84,10.7,23532,10.7
2017-07-14,"ADTN",20.3,20.43,20.4,149900,20.4
2017-07-14,"ADTN",20.3,20.425,20.4,149881,20.4
2017-07-14,"MSBF",17.2,17.5,17.5,600,17.5
2017-07-14,"MSBF",17.2,17.5,17.5,559,17.5
2017-07-14,"QQXT",46.6,46.68,46.68,3800,46.68
2017-07-14,"QQXT",46.6,46.682,46.681702,3803,46.681702
2017-07-14,"MYI",14.43,14.48,14.48,41200,14.48
2017-07-14,"MYI",14.43,14.48,14.48,41212,14.48
2017-07-14,"ETV",15.49,15.52,15.5,119000,15.5
2017-07-14,"ETV",15.49,15.52,15.5,118966,15.5
2017-07-14,"TCPC",16.79,16.9,16.809999,104400,16.809999
2017-07-14,"TCPC",16.79,16.9,16.809999,104436,16.809999
2017-07-14,"SPTN",26,26.41,26.040001,202400,26.040001
2017-07-14,"SPTN",26,26.41,26.040001,202424,26.040001
2017-07-14,"SAN",6.75,6.8,6.76,3735200,6.76
2017-07-14,"SAN",6.75,6.8,6.76,3754181,6.76
2017-07-14,"ATH",49.57,49.91,49.77,619200,49.77
2017-07-14,"ATH",49.57,49.91,49.77,619179,49.77
2017-07-14,"CEVA",46.35,46.68,46.450001,82600,46.450001
2017-07-14,"CEVA",46.35,46.675,46.450001,82640,46.450001
2017-07-14,"CNSL",17.9,18.43,17.959999,3170200,17.959999
2017-07-14,"CNSL",17.9,18.43,17.959999,3170178,17.959999
2017-07-14,"VRSN",97.31,97.36,96.919998,768600,96.919998
2017-07-14,"VRSN",97.31,97.36,96.919998,788857,96.919998
2017-07-14,"ARMK",40.13,40.545,40.389999,1370936,40.389999
2017-07-14,"CGNT",1.62,1.7,1.69,13900,1.69
2017-07-14,"CGNT",1.624,1.7,1.6878,13922,1.6878
2017-07-14,"ORPN",0.62,0.78,0.66,468500,0.66
2017-07-14,"ORPN",0.62,0.78,0.66,468480,0.66
2017-07-14,"AVGO",248.63,250.4,250.289993,1413100,250.289993
2017-07-14,"AVGO",248.63,250.4,250.289993,1441720,250.289993
2017-07-14,"FWP",21.1,21.55,20.91,33400,20.91
2017-07-14,"FWP",0,21.55,20.91,33441,20.91
